Tipo de Comparación,Rango de Valores,Título,Información,Tipo de Ejercicio,Ejemplos de Ejercicios
ECR (Elastic Contribution Ratio),< 10%,Énfasis en componente elástico,El tejido conectivo tiene poca capacidad de acumular energía elástica,"Ejercicios con la fase excéntrica acentuada, ejercicios isométricos en amplios ángulos articulares o ejercicios excéntricos cuasi-isométricos","Sentadillas con descenso controlado, Sentadilla supramáxima excéntrica a una pierna, Peso muerto con fase excéntrica controlada"
ECR (Elastic Contribution Ratio),10% - 20%,Énfasis en ambas componentes,Ambos componentes de la musculatura deben ser desarrollados en la misma magnitud.,"Se recomiendan ejercicios que estimulen el componente contráctil y el componente elástico equilibradamente como ejercicios isométricos, ejercicios solo concéntricos, ejercicios con pausas intrarepetición","Sentadilla isométrica a dos piernas, Salto con sobrecarga, Estocada con paso al frente"
ECR (Elastic Contribution Ratio),> 20%,Énfasis en componente contráctil,"El sujeto tiene gran capacidad de acumular energía elástica. Tiene buena calidad y cantidad de tejido conectivo principalmente en paralelo y también en serie","Se recomiendan ejercicios de saltabilidad sin fase de vuelo previa, ejercicios tradicionales con fase excéntrica acentuada, ejercicios isométricos en amplios ángulos articulares","Sentadillas con acentuación excéntrica, Salto con contramovimiento sin descenso previo, Isometría en prensa 45°"
Contribución de Brazos,<= 10%,Mala coordinación de brazos,"La inercia que generan los brazos no impulsa el salto vertical. La diferencia de altura esperada es de 10-15%",Ejercicios de coordinación de brazos,"Saltos con ayuda de brazos con y sin sobrecarga externa ligera en brazos, Saltos al cajón con ayuda de brazos, Saltos a la torre con ayuda de brazos, Saltos verticales consecutivos con ayuda de brazos"
RSI (Reactive Strength Index),< 1,Muy bajo índice de fuerza reactiva (<1),"Capacidad de fuerza reactiva limitada, priorizar desarrollo de fuerza",Se recomiendan ejercicios básicos priorizando la intensidad del ejercicio.,"Sentadillas con pocas repeticiones y alta intensidad, Prensa a 45 grados con pocas repeticiones y alta densidad, Ejercicios coordinativos en escalerilla sin fase de vuelo"
RSI (Reactive Strength Index),1 - 1.5,Bajo índice de fuerza reactiva (1 - 1.5),"Capacidad de fuerza reactiva limitada, priorizar desarrollo de fuerza",Comenzar con saltabilidad tipo HOPS con mínima fase de vuelo,"HOPS de intensidad moderada/baja con tiempos de contacto moderados, Sentadillas con pocas repeticiones y alta intensidad, Prensa a 45 grados con pocas repeticiones y alta densidad"
RSI (Reactive Strength Index),1.5 - 2,Moderado índice de fuerza reactiva (1.5 - 2),Moderada capacidad de acumulación de energía elástica principalmente en tendones,Ejercicios de saltabilidad de intensidad moderada/alta con mínima flexión de tobillos y rodillas,"Ejercicios de saltabilidad tipo HOPS con fase de vuelo de intensidad moderada/alta con tiempo de contacto bajo, Ejercicios de saltabilidad tipo HOPS unilateral, Saltar la soga con los tobillos y rodillas lo más rígido posible y con el menor tiempo de contacto"
RSI (Reactive Strength Index),2 - 2.5,Buen índice de fuerza reactiva (2 - 2.5),Moderada/buena capacidad de fuerza reactiva,Se recomienda saltabilidad con fase de vuelo de moderada/alta intensidad,"Saltos con vallas, Saltos rebote en el lugar de alta intensidad, Saltos con mínima asistencia"
RSI (Reactive Strength Index),2.5 - 3,Alto nivel de fuerza reactiva (2.5 - 3),"Altos niveles de acumulación de energía elástica, buenos niveles de stiffness",Se recomiendan ejercicios de saltabilidad de muy alta intensidad,"Drop jumps, Pliometría (shock method), Saltos con vallas con máxima intensidad y mínimo tiempo de contacto"
RSI (Reactive Strength Index),> 3,Nivel de fuerza reactiva clase mundial (>3),"Muy altos niveles de fuerza reactiva, capacidad limitada para mejorar la fuerza reactiva",Se recomiendan ejercicios de saltabilidad de muy alta intensidad,"Pliometría de alto nivel, Drop jumps sobre superficies rígidas, Saltabilidad con mínima fase de contacto sobre superficies rígidas"
Drop Jump vs CMJ,Drop Jump > CMJ,Entrenar con drop jump,El sujeto no puede elevar el centro de gravedad con su salto hasta la altura de caída óptima de drop jump,Drop jump,Se sugiere entrenar drop jump con altura de caída óptima en base al mejor índice Q
Drop Jump vs CMJ,Drop Jump <= CMJ,Entrenar con vallas,El sujeto genera el mejor índice de calidad de salto a una altura a la que puede lograr saltar por sus propios medios,Saltos con vallas,Se sugiere entrenar colocando obstáculos a la altura del mejor índice Q 
